형태소,품사,가게이름,날짜,평점,카운트
.,Punctuation,란주탕슉,2019.09.03.,2,1
.,Punctuation,란주탕슉,2020.01.01,2,2
.,Punctuation,란주탕슉,2020.07.08.,4,1
.,Punctuation,란주탕슉,2020.08.16.,5,2
.,Punctuation,란주탕슉,2020.09.22.,5,5
.,Punctuation,란주탕슉,2020.10.04.,1,1
.,Punctuation,란주탕슉,2020.11.12.,5,2
.,Punctuation,램랜드,2020.01.01,3,1
.,Punctuation,램랜드,2020.01.01,5,1
.,Punctuation,로향양꼬치,2020.01.01,1,9
.,Punctuation,루루,2020.01.01,4,1
.,Punctuation,루루,2020.01.01,5,1
.,Punctuation,리춘시장 대학로CGV점,2020.03.15.,2,1
.,Punctuation,리춘시장 대학로CGV점,2020.06.02.,2,2
.,Punctuation,리춘시장 영등포역점,2020.03.09.,3,2
.,Punctuation,마담밍 선릉점,2020.01.01,5,3
.,Punctuation,마라고메 방이점,2020.01.01,1,1
.,Punctuation,만보성,2018.08.18.,5,1
.,Punctuation,만보성,2018.12.30.,5,2
.,Punctuation,만보성,2019.06.22.,5,3
.,Punctuation,만보성,2019.07.11.,1,1
.,Punctuation,만보성,2019.07.21.,1,7
.,Punctuation,맛이차이나,2020.01.01,4,3
.,Punctuation,맛이차이나,2020.01.01,5,4
.,Punctuation,매운향솥 본점,2020.01.01,4,2
.,Punctuation,매화반점 1호점,2020.01.01,3,11
.,Punctuation,목란,2020.01.01,1,3
.,Punctuation,미가양고기,2020.01.01,1,5
.,Punctuation,미가양고기,2020.01.01,5,3
.,Punctuation,미소손짜장,2020.01.01,1,2
.,Punctuation,미엔아이 송파점,2020.01.01,3,2
.,Punctuation,미엔아이 송파점,2020.01.01,4,4
.,Punctuation,미엔아이 송파점,2020.01.01,5,2
.,Punctuation,바오바,2020.01.01,4,3
.,Punctuation,백객도,2020.01.01,1,1
.,Punctuation,백객도,2020.01.01,5,2
.,Punctuation,벽돌해피푸드 압구정점,2020.01.01,3,1
.,Punctuation,벽돌해피푸드 압구정점,2020.01.01,4,1
.,Punctuation,벽돌해피푸드 압구정점,2020.01.01,5,2
.,Punctuation,복만루훠궈,2020.08.18.,4,1
.,Punctuation,복성각,2018.07.28.,3,1
.,Punctuation,복성각,2019.08.11.,2,3
.,Punctuation,복성각,2019.08.20.,1,2
.,Punctuation,복성각,2020.01.01,1,1
.,Punctuation,봉자마라탕,2018.11.14.,5,2
.,Punctuation,봉자마라탕,2019.03.13.,5,1
.,Punctuation,봉자마라탕,2019.05.11.,1,8
.,Punctuation,봉자마라탕,2019.10.31.,1,2
.,Punctuation,봉자마라탕,2020.01.27.,4,1
.,Punctuation,봉자마라탕,2020.02.10.,3,3
.,Punctuation,봉자마라탕,2020.02.12.,1,5
.,Punctuation,봉자마라탕,2020.07.05.,3,1
.,Punctuation,봉자마라탕,2020.07.31.,5,4
